time,active_50kW,active_150kW
00:00,10,2
00:05,10,2
00:10,10,2
00:15,10,2
00:20,10,2
00:25,10,2
00:30,10,2
00:35,10,2
00:40,10,2
00:45,10,2
00:50,10,2
00:55,10,2
01:00,10,2
01:05,10,2
01:10,10,2
01:15,10,2
01:20,10,2
01:25,10,2
01:30,10,2
01:35,10,2
01:40,10,2
01:45,10,2
01:50,10,2
01:55,10,2
02:00,10,2
02:05,10,2
02:10,10,2
02:15,10,2
02:20,10,2
02:25,10,2
02:30,10,2
02:35,10,2
02:40,10,2
02:45,10,2
02:50,10,2
02:55,10,2
03:00,10,2
03:05,10,2
03:10,10,2
03:15,10,2
03:20,10,2
03:25,10,2
03:30,10,2
03:35,10,2
03:40,10,2
03:45,10,2
03:50,10,2
03:55,10,2
04:00,10,2
04:05,10,2
04:10,10,2
04:15,10,2
04:20,10,2
04:25,10,2
04:30,10,2
04:35,10,2
04:40,10,2
04:45,10,2
04:50,10,2
04:55,10,2
05:00,10,2
05:05,10,2
05:10,10,2
05:15,10,2
05:20,10,2
05:25,10,2
05:30,10,2
05:35,10,2
05:40,10,2
05:45,10,2
05:50,10,2
05:55,10,2
06:00,60,10
06:05,60,10
06:10,60,10
06:15,60,10
06:20,60,10
06:25,60,10
06:30,60,10
06:35,60,10
06:40,60,10
06:45,60,10
06:50,60,10
06:55,60,10
07:00,60,10
07:05,60,10
07:10,60,10
07:15,60,10
07:20,60,10
07:25,60,10
07:30,60,10
07:35,60,10
07:40,60,10
07:45,60,10
07:50,60,10
07:55,60,10
08:00,60,10
08:05,60,10
08:10,60,10
08:15,60,10
08:20,60,10
08:25,60,10
08:30,60,10
08:35,60,10
08:40,60,10
08:45,60,10
08:50,60,10
08:55,60,10
09:00,80,15
09:05,80,15
09:10,80,15
09:15,80,15
09:20,80,15
09:25,80,15
09:30,80,15
09:35,80,15
09:40,80,15
09:45,80,15
09:50,80,15
09:55,80,15
10:00,80,15
10:05,80,15
10:10,80,15
10:15,80,15
10:20,80,15
10:25,80,15
10:30,80,15
10:35,80,15
10:40,80,15
10:45,80,15
10:50,80,15
10:55,80,15
11:00,80,15
11:05,80,15
11:10,80,15
11:15,80,15
11:20,80,15
11:25,80,15
11:30,80,15
11:35,80,15
11:40,80,15
11:45,80,15
11:50,80,15
11:55,80,15
12:00,100,20
12:05,100,20
12:10,100,20
12:15,100,20
12:20,100,20
12:25,100,20
12:30,100,20
12:35,100,20
12:40,100,20
12:45,100,20
12:50,100,20
12:55,100,20
13:00,100,20
13:05,100,20
13:10,100,20
13:15,100,20
13:20,100,20
13:25,100,20
13:30,100,20
13:35,100,20
13:40,100,20
13:45,100,20
13:50,100,20
13:55,100,20
14:00,80,15
14:05,80,15
14:10,80,15
14:15,80,15
14:20,80,15
14:25,80,15
14:30,80,15
14:35,80,15
14:40,80,15
14:45,80,15
14:50,80,15
14:55,80,15
15:00,80,15
15:05,80,15
15:10,80,15
15:15,80,15
15:20,80,15
15:25,80,15
15:30,80,15
15:35,80,15
15:40,80,15
15:45,80,15
15:50,80,15
15:55,80,15
16:00,80,15
16:05,80,15
16:10,80,15
16:15,80,15
16:20,80,15
16:25,80,15
16:30,80,15
16:35,80,15
16:40,80,15
16:45,80,15
16:50,80,15
16:55,80,15
17:00,300,70
17:05,300,70
17:10,300,70
17:15,300,70
17:20,300,70
17:25,300,70
17:30,300,70
17:35,300,70
17:40,300,70
17:45,300,70
17:50,300,70
17:55,300,70
18:00,300,70
18:05,300,70
18:10,300,70
18:15,300,70
18:20,300,70
18:25,300,70
18:30,300,70
18:35,300,70
18:40,300,70
18:45,300,70
18:50,300,70
18:55,300,70
19:00,300,70
19:05,300,70
19:10,300,70
19:15,300,70
19:20,300,70
19:25,300,70
19:30,300,70
19:35,300,70
19:40,300,70
19:45,300,70
19:50,300,70
19:55,300,70
20:00,300,70
20:05,300,70
20:10,300,70
20:15,300,70
20:20,300,70
20:25,300,70
20:30,300,70
20:35,300,70
20:40,300,70
20:45,300,70
20:50,300,70
20:55,300,70
21:00,80,15
21:05,80,15
21:10,80,15
21:15,80,15
21:20,80,15
21:25,80,15
21:30,80,15
21:35,80,15
21:40,80,15
21:45,80,15
21:50,80,15
21:55,80,15
22:00,80,15
22:05,80,15
22:10,80,15
22:15,80,15
22:20,80,15
22:25,80,15
22:30,80,15
22:35,80,15
22:40,80,15
22:45,80,15
22:50,80,15
22:55,80,15
23:00,20,3
23:05,20,3
23:10,20,3
23:15,20,3
23:20,20,3
23:25,20,3
23:30,20,3
23:35,20,3
23:40,20,3
23:45,20,3
23:50,20,3
23:55,20,3
